hora,estado,terminal,root,u_pu,uknom_kV,clave,energizado,cumple,ldf_ok
09:00,SIN_SSFV,2214130,2214130,0.995905,13.800000190734863,0,1,1,1
09:00,SIN_SSFV,2214148,2214148,0.995902,13.800000190734863,0,1,1,1
09:00,SIN_SSFV,2214156,2214156,0.995902,13.800000190734863,0,1,1,1
09:00,SIN_SSFV,2479567,2479567,0.995312,13.800000190734863,1,1,1,1
09:00,SIN_SSFV,2567814,2567814,0.995972,13.800000190734863,0,1,1,1
09:00,SIN_SSFV,2567831,2567831,0.995971,13.800000190734863,0,1,1,1
09:00,SIN_SSFV,2765811,2765811,0.998191,13.800000190734863,0,1,1,1
09:00,SIN_SSFV,2765829,2765829,0.998177,13.800000190734863,0,1,1,1
09:00,SIN_SSFV,2765837,2765837,0.998176,13.800000190734863,0,1,1,1
09:00,SIN_SSFV,2789132,2789132,0.995356,13.800000190734863,0,1,1,1
09:00,SIN_SSFV,2789141,2789141,0.995356,13.800000190734863,0,1,1,1
09:00,SIN_SSFV,3272567,3272567,0.995314,13.800000190734863,1,1,1,1
09:00,SIN_SSFV,3272664,3272664,0.995309,13.800000190734863,1,1,1,1
09:00,SIN_SSFV,3272761,3272761,0.995307,13.800000190734863,1,1,1,1
09:00,SIN_SSFV,3272869,3272869,0.995305,13.800000190734863,1,1,1,1
09:00,SIN_SSFV,3272966,3272966,0.995305,13.800000190734863,1,1,1,1
09:00,SIN_SSFV,3453260,3453260,0.995963,13.800000190734863,0,1,1,1
09:00,SIN_SSFV,3453367,3453367,0.995964,13.800000190734863,0,1,1,1
09:00,SIN_SSFV,3453464,3453464,0.995966,13.800000190734863,0,1,1,1
09:00,SIN_SSFV,3453561,3453561,0.995971,13.800000190734863,0,1,1,1
09:00,SIN_SSFV,3769721,3769721,0.996109,13.800000190734863,0,1,1,1
09:00,SIN_SSFV,4249330,4249330,0.997712,13.800000190734863,0,1,1,1
09:00,SIN_SSFV,4249348,4249348,0.997710,13.800000190734863,0,1,1,1
09:00,SIN_SSFV,4249356,4249356,0.997706,13.800000190734863,0,1,1,1
09:00,SIN_SSFV,4249372,4249372,0.997705,13.800000190734863,0,1,1,1
09:00,SIN_SSFV,4938216,4938216,0.995902,13.800000190734863,0,1,1,1
09:00,SIN_SSFV,5604524,5604524,0.997709,13.800000190734863,0,1,1,1
09:00,SIN_SSFV,5605024,5605024,0.997717,13.800000190734863,0,1,1,1
09:00,SIN_SSFV,5605032,5605032,0.997715,13.800000190734863,0,1,1,1
09:00,SIN_SSFV,8338973,8338973,0.997555,13.800000190734863,0,1,1,1
09:00,SIN_SSFV,8339155,8339155,0.997556,13.800000190734863,0,1,1,1
09:00,SIN_SSFV,8339694,8339694,0.997556,13.800000190734863,0,1,1,1
09:00,SIN_SSFV,8339708,8339708,0.997557,13.800000190734863,0,1,1,1
09:00,SIN_SSFV,8795266,8795266,0.997721,13.800000190734863,0,1,1,1
09:00,SIN_SSFV,9219013,9219013,0.995426,13.800000190734863,0,1,1,1
09:00,SIN_SSFV,9500758,9500758,0.997725,13.800000190734863,0,1,1,1
09:00,SIN_SSFV,9500766,9500766,0.997723,13.800000190734863,0,1,1,1
09:00,SIN_SSFV,9500774,9500774,0.997721,13.800000190734863,0,1,1,1
09:00,CON_SSFV,10 502_Term,10 502_Term,1.000000,13.800000190734863,0,1,1,1
09:00,CON_SSFV,1026666,1026666,0.997686,13.800000190734863,0,1,1,1
09:00,CON_SSFV,1026682,1026682,0.997686,13.800000190734863,0,1,1,1
09:00,CON_SSFV,1045288,1045288,0.996098,13.800000190734863,0,1,1,1
09:00,CON_SSFV,1065971,1065971,0.995908,13.800000190734863,1,1,1,1
09:00,CON_SSFV,1067001,1067001,0.999984,13.800000190734863,0,1,1,1
09:00,CON_SSFV,1067010,1067010,0.998289,13.800000190734863,0,1,1,1
09:00,CON_SSFV,1067028,1067028,0.998138,13.800000190734863,0,1,1,1
09:00,CON_SSFV,1067036,1067036,0.998109,13.800000190734863,0,1,1,1
09:00,CON_SSFV,1067044,1067044,0.997981,13.800000190734863,0,1,1,1
09:00,CON_SSFV,1067052,1067052,0.997844,13.800000190734863,0,1,1,1
09:00,CON_SSFV,1067079,1067079,0.997838,13.800000190734863,0,1,1,1
09:00,CON_SSFV,1067087,1067087,0.997833,13.800000190734863,0,1,1,1
09:00,CON_SSFV,1067109,1067109,0.997705,13.800000190734863,0,1,1,1
09:00,CON_SSFV,1067117,1067117,0.997528,13.800000190734863,0,1,1,1
09:00,CON_SSFV,1067125,1067125,0.997380,13.800000190734863,0,1,1,1
09:00,CON_SSFV,1067133,1067133,0.997377,13.800000190734863,0,1,1,1
09:00,CON_SSFV,1067141,1067141,0.997262,13.800000190734863,0,1,1,1
09:00,CON_SSFV,1067150,1067150,0.997094,13.800000190734863,0,1,1,1
09:00,CON_SSFV,1067176,1067176,0.996926,13.800000190734863,0,1,1,1
09:00,CON_SSFV,1067184,1067184,0.996855,13.800000190734863,0,1,1,1
09:00,CON_SSFV,1067192,1067192,0.996764,13.800000190734863,0,1,1,1
09:00,CON_SSFV,1067206,1067206,0.996671,13.800000190734863,0,1,1,1
09:00,CON_SSFV,1067214,1067214,0.996579,13.800000190734863,0,1,1,1
09:00,CON_SSFV,1069438,1069438,0.999854,13.800000190734863,0,1,1,1
09:00,CON_SSFV,1069446,1069446,0.999552,13.800000190734863,0,1,1,1
09:00,CON_SSFV,1069454,1069454,0.999477,13.800000190734863,0,1,1,1
09:00,CON_SSFV,1069471,1069471,0.999354,13.800000190734863,0,1,1,1
09:00,CON_SSFV,1069489,1069489,0.999138,13.800000190734863,0,1,1,1
09:00,CON_SSFV,1069497,1069497,0.998952,13.800000190734863,0,1,1,1
09:00,CON_SSFV,1069501,1069501,0.998787,13.800000190734863,0,1,1,1
09:00,CON_SSFV,1069519,1069519,0.998653,13.800000190734863,0,1,1,1
09:00,CON_SSFV,1069527,1069527,0.998604,13.800000190734863,0,1,1,1
09:00,CON_SSFV,1069683,1069683,0.998386,13.800000190734863,0,1,1,1
09:00,CON_SSFV,1101251,1101251,0.996543,13.800000190734863,0,1,1,1
09:00,CON_SSFV,1101277,1101277,0.996495,13.800000190734863,0,1,1,1
09:00,CON_SSFV,1101293,1101293,0.996316,13.800000190734863,0,1,1,1
09:00,CON_SSFV,1101307,1101307,0.996256,13.800000190734863,0,1,1,1
09:00,CON_SSFV,1101315,1101315,0.996203,13.800000190734863,0,1,1,1
09:00,CON_SSFV,1101323,1101323,0.996171,13.800000190734863,0,1,1,1
09:00,CON_SSFV,1101331,1101331,0.996142,13.800000190734863,0,1,1,1
09:00,CON_SSFV,1101340,1101340,0.996104,13.800000190734863,0,1,1,1
09:00,CON_SSFV,1101358,1101358,0.996082,13.800000190734863,0,1,1,1
09:00,CON_SSFV,1101374,1101374,0.996049,13.800000190734863,0,1,1,1
09:00,CON_SSFV,1101382,1101382,0.996024,13.800000190734863,0,1,1,1
09:00,CON_SSFV,1101391,1101391,0.996001,13.800000190734863,0,1,1,1
09:00,CON_SSFV,1101404,1101404,0.995963,13.800000190734863,0,1,1,1
09:00,CON_SSFV,1101412,1101412,0.995944,13.800000190734863,0,1,1,1
09:00,CON_SSFV,1101421,1101421,0.995927,13.800000190734863,0,1,1,1
09:00,CON_SSFV,1101447,1101447,0.995921,13.800000190734863,0,1,1,1
09:00,CON_SSFV,1101455,1101455,0.995913,13.800000190734863,0,1,1,1
09:00,CON_SSFV,1101471,1101471,0.995908,13.800000190734863,0,1,1,1
09:00,CON_SSFV,1101480,1101480,0.995908,13.800000190734863,0,1,1,1
09:00,CON_SSFV,1102958,1102958,0.997703,13.800000190734863,0,1,1,1
09:00,CON_SSFV,1102974,1102974,0.997700,13.800000190734863,0,1,1,1
09:00,CON_SSFV,1102982,1102982,0.997686,13.800000190734863,0,1,1,1
09:00,CON_SSFV,1103211,1103211,0.996851,13.800000190734863,0,1,1,1
09:00,CON_SSFV,1103229,1103229,0.996850,13.800000190734863,0,1,1,1
09:00,CON_SSFV,1103245,1103245,0.996763,13.800000190734863,0,1,1,1
09:00,CON_SSFV,1103253,1103253,0.996760,13.800000190734863,0,1,1,1
09:00,CON_SSFV,1103296,1103296,0.997377,13.800000190734863,0,1,1,1
09:00,CON_SSFV,1103300,1103300,0.997376,13.800000190734863,0,1,1,1
09:00,CON_SSFV,1103318,1103318,0.997376,13.800000190734863,0,1,1,1
09:00,CON_SSFV,1103326,1103326,0.997376,13.800000190734863,0,1,1,1
09:00,CON_SSFV,1103351,1103351,0.996764,13.800000190734863,0,1,1,1
09:00,CON_SSFV,1103385,1103385,0.996763,13.800000190734863,0,1,1,1
09:00,CON_SSFV,1103393,1103393,0.996669,13.800000190734863,0,1,1,1
09:00,CON_SSFV,1103407,1103407,0.996666,13.800000190734863,0,1,1,1
09:00,CON_SSFV,1103431,1103431,0.996494,13.800000190734863,0,1,1,1
09:00,CON_SSFV,1103458,1103458,0.996492,13.800000190734863,0,1,1,1
09:00,CON_SSFV,1103725,1103725,0.996578,13.800000190734863,0,1,1,1
09:00,CON_SSFV,1154079,1154079,0.998288,13.800000190734863,0,1,1,1
09:00,CON_SSFV,1154087,1154087,0.998281,13.800000190734863,0,1,1,1
09:00,CON_SSFV,1154109,1154109,0.998282,13.800000190734863,0,1,1,1
09:00,CON_SSFV,1154117,1154117,0.998283,13.800000190734863,0,1,1,1
09:00,CON_SSFV,1154125,1154125,0.998285,13.800000190734863,0,1,1,1
09:00,CON_SSFV,1154133,1154133,0.998137,13.800000190734863,0,1,1,1
09:00,CON_SSFV,1154141,1154141,0.998138,13.800000190734863,0,1,1,1
09:00,CON_SSFV,1154150,1154150,0.998137,13.800000190734863,0,1,1,1
09:00,CON_SSFV,1154176,1154176,0.998136,13.800000190734863,0,1,1,1
09:00,CON_SSFV,1154192,1154192,0.998107,13.800000190734863,0,1,1,1
09:00,CON_SSFV,1154206,1154206,0.998108,13.800000190734863,0,1,1,1
09:00,CON_SSFV,1154214,1154214,0.996880,13.800000190734863,0,1,1,1
09:00,CON_SSFV,1154222,1154222,0.998106,13.800000190734863,0,1,1,1
09:00,CON_SSFV,1154231,1154231,0.998102,13.800000190734863,0,1,1,1
09:00,CON_SSFV,1154249,1154249,0.997261,13.800000190734863,0,1,1,1
09:00,CON_SSFV,1154257,1154257,0.997261,13.800000190734863,0,1,1,1
09:00,CON_SSFV,1154273,1154273,0.997259,13.800000190734863,0,1,1,1
09:00,CON_SSFV,1154281,1154281,0.997258,13.800000190734863,0,1,1,1
09:00,CON_SSFV,1154290,1154290,0.997258,13.800000190734863,0,1,1,1
09:00,CON_SSFV,1154303,1154303,0.998137,13.800000190734863,0,1,1,1
09:00,CON_SSFV,1154311,1154311,0.997524,13.800000190734863,0,1,1,1
09:00,CON_SSFV,1154346,1154346,0.997527,13.800000190734863,0,1,1,1
09:00,CON_SSFV,1154354,1154354,0.997526,13.800000190734863,0,1,1,1
09:00,CON_SSFV,1154371,1154371,0.996921,13.800000190734863,0,1,1,1
09:00,CON_SSFV,1154389,1154389,0.996921,13.800000190734863,0,1,1,1
09:00,CON_SSFV,1154397,1154397,0.996908,13.800000190734863,0,1,1,1
09:00,CON_SSFV,1154401,1154401,0.996889,13.800000190734863,0,1,1,1
09:00,CON_SSFV,1154435,1154435,0.998102,13.800000190734863,0,1,1,1
09:00,CON_SSFV,1154443,1154443,0.997379,13.800000190734863,0,1,1,1
09:00,CON_SSFV,1154451,1154451,0.997378,13.800000190734863,0,1,1,1
09:00,CON_SSFV,1154478,1154478,0.997377,13.800000190734863,0,1,1,1
09:00,CON_SSFV,1154494,1154494,0.997376,13.800000190734863,0,1,1,1
09:00,CON_SSFV,1154508,1154508,0.997687,13.800000190734863,0,1,1,1
09:00,CON_SSFV,1154524,1154524,0.996854,13.800000190734863,0,1,1,1
09:00,CON_SSFV,1154532,1154532,0.996851,13.800000190734863,0,1,1,1
09:00,CON_SSFV,1154541,1154541,0.996849,13.800000190734863,0,1,1,1
09:00,CON_SSFV,1154575,1154575,0.996854,13.800000190734863,0,1,1,1
09:00,CON_SSFV,1154583,1154583,0.996851,13.800000190734863,0,1,1,1
09:00,CON_SSFV,1154591,1154591,0.996849,13.800000190734863,0,1,1,1
09:00,CON_SSFV,1154605,1154605,0.996577,13.800000190734863,0,1,1,1
09:00,CON_SSFV,1154613,1154613,0.996577,13.800000190734863,0,1,1,1
09:00,CON_SSFV,1155245,1155245,0.996310,13.800000190734863,0,1,1,1
09:00,CON_SSFV,1155253,1155253,0.996303,13.800000190734863,0,1,1,1
09:00,CON_SSFV,1155270,1155270,0.996305,13.800000190734863,0,1,1,1
09:00,CON_SSFV,1155334,1155334,0.996202,13.800000190734863,0,1,1,1
09:00,CON_SSFV,1155342,1155342,0.996200,13.800000190734863,0,1,1,1
09:00,CON_SSFV,1155351,1155351,0.996199,13.800000190734863,0,1,1,1
09:00,CON_SSFV,1155377,1155377,0.996197,13.800000190734863,0,1,1,1
09:00,CON_SSFV,1155652,1155652,0.996103,13.800000190734863,0,1,1,1
09:00,CON_SSFV,1155679,1155679,0.996196,13.800000190734863,0,1,1,1
09:00,CON_SSFV,1155741,1155741,0.995926,13.800000190734863,0,1,1,1
09:00,CON_SSFV,1155750,1155750,0.995924,13.800000190734863,0,1,1,1
09:00,CON_SSFV,1155776,1155776,0.995924,13.800000190734863,0,1,1,1
09:00,CON_SSFV,1155792,1155792,0.995925,13.800000190734863,0,1,1,1
09:00,CON_SSFV,1155806,1155806,0.995923,13.800000190734863,0,1,1,1
09:00,CON_SSFV,1155822,1155822,0.995922,13.800000190734863,0,1,1,1
09:00,CON_SSFV,1155849,1155849,0.995962,13.800000190734863,0,1,1,1
09:00,CON_SSFV,1155857,1155857,0.995961,13.800000190734863,0,1,1,1
09:00,CON_SSFV,1155881,1155881,0.995960,13.800000190734863,0,1,1,1
09:00,CON_SSFV,1155911,1155911,0.996302,13.800000190734863,0,1,1,1
09:00,CON_SSFV,1155938,1155938,0.996103,13.800000190734863,0,1,1,1
09:00,CON_SSFV,1155946,1155946,0.996101,13.800000190734863,0,1,1,1
09:00,CON_SSFV,1155971,1155971,0.996102,13.800000190734863,0,1,1,1
09:00,CON_SSFV,1155997,1155997,0.996102,13.800000190734863,0,1,1,1
09:00,CON_SSFV,1157019,1157019,0.996200,13.800000190734863,0,1,1,1
09:00,CON_SSFV,1283235,1283235,0.997828,13.800000190734863,0,1,1,1
09:00,CON_SSFV,1618733,1618733,0.995959,13.800000190734863,0,1,1,1
09:00,CON_SSFV,1618741,1618741,0.995962,13.800000190734863,0,1,1,1
09:00,CON_SSFV,1618750,1618750,0.995962,13.800000190734863,0,1,1,1
09:00,CON_SSFV,1667238,1667238,0.996578,13.800000190734863,0,1,1,1
09:00,CON_SSFV,1667262,1667262,0.996666,13.800000190734863,0,1,1,1
09:00,CON_SSFV,220 V,220 V,0.993504,0.2199999988079071,0,1,1,1
09:00,CON_SSFV,2214130,2214130,0.996254,13.800000190734863,0,1,1,1
09:00,CON_SSFV,2214148,2214148,0.996252,13.800000190734863,0,1,1,1
09:00,CON_SSFV,2214156,2214156,0.996251,13.800000190734863,0,1,1,1
09:00,CON_SSFV,2479567,2479567,0.995908,13.800000190734863,1,1,1,1
09:00,CON_SSFV,2567814,2567814,0.996302,13.800000190734863,0,1,1,1
09:00,CON_SSFV,2567831,2567831,0.996302,13.800000190734863,0,1,1,1
09:00,CON_SSFV,2765811,2765811,0.998281,13.800000190734863,0,1,1,1
09:00,CON_SSFV,2765829,2765829,0.998268,13.800000190734863,0,1,1,1
09:00,CON_SSFV,2765837,2765837,0.998266,13.800000190734863,0,1,1,1
