Name	In Folder	Grid	Terminal i	Terminal j	Length	Type Name	Rtd.Current	R1	X1	B1	R0	X0	B0
			Busbar	Busbar	km		kA	Ohm	Ohm	uS	Ohm	Ohm	uS
9143	\Usuario Principal.IntUser\Mas X Menos Guarin.IntPrj\Modelo de Red.IntPrjfolder\Datos de Red.IntPrjfolder\Red.ElmNet	Red	1154176	1154150	0.0089	3F_15_CU_2_XLPE	0.155	0.005848	0.003792	0	0.009756	0.003639	0
9253	\Usuario Principal.IntUser\Mas X Menos Guarin.IntPrj\Modelo de Red.IntPrjfolder\Datos de Red.IntPrjfolder\Red.ElmNet	Red	1154079	1067010	0.012	3F_15_CU_2_XLPE	0.155	0.007885	0.005113	0	0.013154	0.004907	0
9254	\Usuario Principal.IntUser\Mas X Menos Guarin.IntPrj\Modelo de Red.IntPrjfolder\Datos de Red.IntPrjfolder\Red.ElmNet	Red	1154079	1154125	0.0356	3F_15_CU_2_XLPE	0.155	0.023393	0.01517	0	0.039022	0.014557	0
9256	\Usuario Principal.IntUser\Mas X Menos Guarin.IntPrj\Modelo de Red.IntPrjfolder\Datos de Red.IntPrjfolder\Red.ElmNet	Red	1154125	1154117	0.0127	3F_15_CU_2_XLPE	0.155	0.008345	0.005412	0	0.013921	0.005193	0
9257	\Usuario Principal.IntUser\Mas X Menos Guarin.IntPrj\Modelo de Red.IntPrjfolder\Datos de Red.IntPrjfolder\Red.ElmNet	Red	1154117	1154109	0.0206	3F_15_CU_2_XLPE	0.155	0.013536	0.008778	0	0.02258	0.008423	0
9258	\Usuario Principal.IntUser\Mas X Menos Guarin.IntPrj\Modelo de Red.IntPrjfolder\Datos de Red.IntPrjfolder\Red.ElmNet	Red	1154109	1154087	0.008	3F_15_CU_2_XLPE	0.155	0.005257	0.003409	0	0.008769	0.003271	0
9264	\Usuario Principal.IntUser\Mas X Menos Guarin.IntPrj\Modelo de Red.IntPrjfolder\Datos de Red.IntPrjfolder\Red.ElmNet	Red	1154206	1067036	0.012	3F_15_CU_2_XLPE	0.155	0.007885	0.005113	0	0.013154	0.004907	0
9265	\Usuario Principal.IntUser\Mas X Menos Guarin.IntPrj\Modelo de Red.IntPrjfolder\Datos de Red.IntPrjfolder\Red.ElmNet	Red	1154206	1154192	0.0216	3F_15_CU_2_XLPE	0.155	0.014193	0.009204	0	0.023676	0.008832	0
9266	\Usuario Principal.IntUser\Mas X Menos Guarin.IntPrj\Modelo de Red.IntPrjfolder\Datos de Red.IntPrjfolder\Red.ElmNet	Red	1154192	1154222	0.0128	3F_15_CU_2_XLPE	0.155	0.008411	0.005454	0	0.01403	0.005234	0
9267	\Usuario Principal.IntUser\Mas X Menos Guarin.IntPrj\Modelo de Red.IntPrjfolder\Datos de Red.IntPrjfolder\Red.ElmNet	Red	1154222	1154231	0.0635	3F_15_CU_2_XLPE	0.155	0.041726	0.027058	0	0.069604	0.025965	0
