linea,de,a,nodo_de,nodo_a,L_km,conductor,In_kA,en_pdf
9343,1154575,1154583,1154575,1154583,0.0186,3F_15_CU_2_XLPE,0.155,SI
9344,1154575,1154583,1154575,1154583,0.0186,3F_15_CU_2_XLPE,0.155,SI
9345,1154583,1154591A,1154583,1154591,0.0221,3F_15_CU_2_XLPE,0.155,SI
9351,1154583,1103211,1154583,1103211,0.0212,3F_15_CU_2_XLPE,0.155,SI
9352,1103211,1103229A,1103211,1103229,0.0162,3F_15_CU_2_XLPE,0.155,SI
9783,1067117B,1154346,1067117,1154346,0.0165,3F_15_CU_2_XLPE,0.155,SI
9784,1154346,1154354,1154346,1154354,0.0102,3F_15_CU_2_XLPE,0.155,SI
9785,1154354,1154311A,1154354,1154311,0.023,3F_15_CU_2_XLPE,0.155,SI
9811,1067133C,1103296,1067133,1103296,0.012,3F_15_CU_2_XLPE,0.155,SI
9822,1103296,1103300,1103296,1103300,0.009,3F_15_CU_2_XLPE,0.155,SI
9823,1103300,1103326,1103300,1103326,0.016,3F_15_CU_2_XLPE,0.155,SI
9824,1103326,1103318A,1103326,1103318,0.0007,3F_15_CU_2_XLPE,0.155,SI
9839,1067176B,1154389,1067176,1154389,0.0165,3F_15_CU_2_XLPE,0.155,SI
9840,1067176C,1154371,1067176,1154371,0.0165,3F_15_CU_2_XLPE,0.155,SI
9841,1154389,1154397,1154389,1154397,0.0412,3F_15_CU_2_XLPE,0.155,SI
9842,1154371,1154397,1154371,1154397,0.04,3F_15_CU_2_XLPE,0.155,SI
9843,1154397,1154401A,1154397,1154401,0.0414,3F_15_CU_2_XLPE,0.155,SI
9844,1154397,1154214A,1154397,1154214,0.0638,3F_15_CU_2_XLPE,0.155,SI
9944,1067184E,1154524,1067184,1154524,0.0165,3F_15_CU_2_XLPE,0.155,SI
9945,1154524,1154532,1154524,1154532,0.0322,3F_15_CU_2_XLPE,0.155,SI
9946,1154532,1154541A,1154532,1154541,0.0187,3F_15_CU_2_XLPE,0.155,SI
9949,1067192B,1103245,1067192,1103245,0.0165,3F_15_CU_2_XLPE,0.155,SI
9950,1103245,1103253A,1103245,1103253,0.0313,3F_15_CU_2_XLPE,0.155,SI
9966,1067192C,1103351,1067192,1103351,0.0165,3F_15_CU_2_XLPE,0.155,SI
9967,1103351,1103385A,1103351,1103385,0.0226,3F_15_CU_2_XLPE,0.155,SI
9989,1067206B,1103393,1067206,1103393,0.0165,3F_15_CU_2_XLPE,0.155,SI
9990,1103393,1667262,1103393,1667262,0.025,3F_15_CU_2_XLPE,0.155,SI
9991,1667262,1103407A,1667262,1103407,0.0035,3F_15_CU_2_XLPE,0.155,SI
10400,1103458A,1103458B,1103458,1103458,0.0012,3F_15_CU_2_XLPE,0.155,NO
10833,1101293C,1155245,1101293,1155245,0.0165,3F_15_CU_2_XLPE,0.155,SI
10834,1155245,1155270,1155245,1155270,0.02,3F_15_CU_2_XLPE,0.155,SI
10835,1155270,1155253,1155270,1155253,0.0214,3F_15_CU_2_XLPE,0.155,SI
10836,1155253,1155911A,1155253,1155911,0.0062,3F_15_CU_2_XLPE,0.155,SI
10941,1101315C,1155334,1101315,1155334,0.0165,3F_15_CU_2_XLPE,0.155,SI
10942,1155334,1155342,1155334,1155342,0.0199,3F_15_CU_2_XLPE,0.155,SI
10943,1155342,1155351,1155342,1155351,0.0139,3F_15_CU_2_XLPE,0.155,SI
10944,1155351,1155377,1155351,1155377,0.0224,3F_15_CU_2_XLPE,0.155,SI
10945,1155377,1155679A,1155377,1155679,0.0081,3F_15_CU_2_XLPE,0.155,SI
10978,1101315D,1155334,1101315,1155334,0.0165,3F_15_CU_2_XLPE,0.155,SI
10979,1155334,1157019A,1155334,1157019,0.0143,3F_15_CU_2_XLPE,0.155,SI
11284,1101421D,1155741,1101421,1155741,0.0165,3F_15_CU_2_XLPE,0.155,SI
11285,1155741,1155750,1155741,1155750,0.026,3F_15_CU_2_XLPE,0.155,SI
11286,1155750,1155776B,1155750,1155776,0.0044,3F_15_CU_2_XLPE,0.155,SI
11287,1101421C,1155741,1101421,1155741,0.0165,3F_15_CU_2_XLPE,0.155,SI
11288,1155741,1155792,1155741,1155792,0.0191,3F_15_CU_2_XLPE,0.155,SI
11289,1155792,1155806,1155792,1155806,0.0352,3F_15_CU_2_XLPE,0.155,SI
11290,1155806,1155822A,1155806,1155822,0.0081,3F_15_CU_2_XLPE,0.155,SI
11342,1101404B,1155849,1101404,1155849,0.0165,3F_15_CU_2_XLPE,0.155,SI
11343,1155849,1155857,1155849,1155857,0.0221,3F_15_CU_2_XLPE,0.155,SI
11344,1155857,1155881A,1155857,1155881,0.0077,3F_15_CU_2_XLPE,0.155,SI
11381,1101340B,1155938,1101340,1155938,0.0165,3F_15_CU_2_XLPE,0.155,SI
11382,1155938,1155946A,1155938,1155946,0.0316,3F_15_CU_2_XLPE,0.155,SI
11383,1101340C,1155652,1101340,1155652,0.0165,3F_15_CU_2_XLPE,0.155,SI
11384,1155652,1155971,1155652,1155971,0.0117,3F_15_CU_2_XLPE,0.155,SI
11385,1155971,1155997A,1155971,1155997,0.0039,3F_15_CU_2_XLPE,0.155,SI
15348,1067214B,1667238,1067214,1667238,0.0165,3F_15_CU_2_XLPE,0.155,SI
15349,1667238,1103725,1667238,1103725,0.0256,3F_15_CU_350_XLPE,0.39,SI
15350,1103725,1154605,1103725,1154605,0.0193,3F_15_CU_2_XLPE,0.155,SI
15351,1154605,1154613A,1154605,1154613,0.005,3F_15_CU_2_XLPE,0.155,SI
21781,1101307D,2214130,1101307,2214130,0.012,3F_15_CU_1/0_XLPE,0.2,SI
21782,2214130,2214148,2214130,2214148,0.0203,3F_15_CU_1/0_XLPE,0.2,SI
21783,2214148,2214156A,2214148,2214156,0.0078,3F_15_CU_1/0_XLPE,0.2,SI
26711,1155270,1155253,1155270,1155253,0.0214,3F_15_CU_2_XLPE,0.155,SI
26712,1155253,2567814,1155253,2567814,0.0054,3F_15_CU_2_XLPE,0.155,SI
26713,2567814,2567831A,2567814,2567831,0.0058,3F_15_CU_2_XLPE,0.155,SI
26922,1101455A,1101455E,1101455,1101455,0.0012,3F_15_ACSR_1/0_AIRE,0.241,NO
40905,1067010E,2765811,1067010,2765811,0.0165,3F_15_CU_2_XLPE,0.155,SI
40906,2765811,2765829,2765811,2765829,0.0206,3F_15_CU_2_XLPE,0.155,SI
