nodo,clave,u_09_sin,u_09_con,dU_09,u_12_sin,u_12_con,dU_12,u_15_sin,u_15_con,dU_15
1154389,0,0.996779,0.996993,0.000214,0.996284,0.996500,0.000216,0.996383,0.996598,0.000215
1154214,0,0.996739,0.996953,0.000214,0.996238,0.996453,0.000215,0.996337,0.996552,0.000215
1067176,0,0.996784,0.996998,0.000214,0.996290,0.996505,0.000215,0.996388,0.996603,0.000215
1154397,0,0.996767,0.996980,0.000213,0.996270,0.996485,0.000215,0.996368,0.996583,0.000215
1154401,0,0.996748,0.996961,0.000213,0.996248,0.996463,0.000215,0.996347,0.996562,0.000215
1067150,0,0.996967,0.997162,0.000195,0.996501,0.996697,0.000196,0.996593,0.996789,0.000196
1154273,0,0.997149,0.997323,0.000174,0.996710,0.996886,0.000176,0.996797,0.996973,0.000176
1154290,0,0.997148,0.997322,0.000174,0.996709,0.996885,0.000176,0.996796,0.996972,0.000176
1154257,0,0.997150,0.997324,0.000174,0.996712,0.996888,0.000176,0.996799,0.996974,0.000175
1067141,0,0.997152,0.997326,0.000174,0.996714,0.996889,0.000175,0.996801,0.996976,0.000175
1154249,0,0.997151,0.997325,0.000174,0.996713,0.996888,0.000175,0.996799,0.996975,0.000176
1154281,0,0.997147,0.997321,0.000174,0.996709,0.996884,0.000175,0.996796,0.996971,0.000175
1067125,0,0.997279,0.997440,0.000161,0.996861,0.997024,0.000163,0.996944,0.997106,0.000162
1067133,0,0.997277,0.997438,0.000161,0.996858,0.997021,0.000163,0.996941,0.997103,0.000162
1103300,0,0.997276,0.997437,0.000161,0.996857,0.997020,0.000163,0.996940,0.997103,0.000163
1154443,0,0.997279,0.997440,0.000161,0.996860,0.997023,0.000163,0.996943,0.997106,0.000163
1154478,0,0.997277,0.997438,0.000161,0.996858,0.997021,0.000163,0.996941,0.997103,0.000162
1103296,0,0.997276,0.997437,0.000161,0.996858,0.997020,0.000162,0.996941,0.997103,0.000162
1103318,0,0.997275,0.997437,0.000162,0.996857,0.997019,0.000162,0.996940,0.997102,0.000162
1103326,0,0.997276,0.997437,0.000161,0.996857,0.997019,0.000162,0.996940,0.997102,0.000162
1154451,0,0.997278,0.997439,0.000161,0.996860,0.997022,0.000162,0.996943,0.997105,0.000162
1154494,0,0.997275,0.997436,0.000161,0.996857,0.997019,0.000162,0.996940,0.997102,0.000162
1067117,0,0.997439,0.997585,0.000146,0.997046,0.997193,0.000147,0.997124,0.997271,0.000147
1154311,0,0.997435,0.997581,0.000146,0.997041,0.997188,0.000147,0.997119,0.997266,0.000147
1154346,0,0.997438,0.997584,0.000146,0.997045,0.997192,0.000147,0.997123,0.997270,0.000147
1154354,0,0.997437,0.997583,0.000146,0.997044,0.997191,0.000147,0.997122,0.997269,0.000147
1067109,0,0.997629,0.997758,0.000129,0.997265,0.997395,0.000130,0.997337,0.997467,0.000130
